,metro,city,stnPlace,stnAddr,rapidCnt,slowCnt,carType
302,서울특별시,마포구,중부전력지사,서울특별시 마포구 합정동 55-1,0,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
303,서울특별시,마포구,창전삼성 아파트,서울특별시 마포구 창전동 서강로 95,1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
304,서울특별시,마포구,한강삼성 아파트,서울특별시 마포구 토정동 토정로32길 11,1,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
305,서울특별시,서대문구,DMC래미안e편한세상,서울특별시 서대문구 북가좌동 481,1,4,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
306,서울특별시,서대문구,DMC센트럴아이파크아파트,서울특별시 서대문구 남가좌동 388,0,6,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
307,서울특별시,서대문구,DMC아이파크 아파트,서울특별시 서대문구 북가좌동 458,1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
308,서울특별시,서대문구,남가좌삼성 아파트,서울특별시 서대문구 남가좌동 377,1,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
309,서울특별시,서대문구,돈의문센트레빌 아파트,서울특별시 서대문구 냉천동 261,1,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
310,서울특별시,서대문구,무악청구2차 아파트,서울특별시 서대문구 홍제동 453-1,0,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
311,서울특별시,서대문구,서부수도사업소,서울특별시 서대문구 홍제동 38-69,3,0,"SM3 Z.E,테슬라"
312,서울특별시,서대문구,연세대학교,서울특별시 서대문구 신촌동 134,3,0,"SM3 Z.E,테슬라"
313,서울특별시,서대문구,연세세브란스 에비슨의생명 연구센터,서울특별시 서대문구 신촌동 134,2,0,"SM3 Z.E,테슬라"
